,ETH
Start,2018-09-04 01:00:00
End,2024-02-29 09:00:00
Duration,5Y 5M 4W 1D 8H
Exposure Time,0.24542657575253618
Downside Exposure Time,0.15542944265627648
Returns,1.2256893173776802
Total Returns,1.2057663398176268
Buy & Hold Returns,10.91597853014038
Number Of Trades,850
Win Rate,0.3270588235294118
Best Return,0.39243787124771873
Worst Return,-0.08225289715912842
Avg Return,0.001418548635079561
Avg Positive Return,0.0299033695900971
Avg Negative Return,-0.012425472738163228
Volatility,0.032013124889031346
Returns Annual,0.15687305883573122
Volatility Annual,0.6116098922382323
Max Drawdown,-210.60933750993448
Avg Drawdown,-9.724336957362144
Profit Factor,1.1696501337204563
Win Loss Ratio,0.486013986013986
Sharpe Ratio,0.2074411490818596
SQN,1.291890260685148
Avg Consecutive Wins,1.4404145077720207
Avg Consecutive Losses,2.9326424870466323
Max Consecutive Wins,4
Max Consecutive Losses,16
