,XRP
Start,2019-06-02 09:00:00
End,2024-02-29 23:00:00
Duration,4Y 9M 3D 14H
Exposure Time,0.22275633322117003
Downside Exposure Time,0.05071212775140268
Returns,1.5858491153976426
Total Returns,1.7663493945908004
Buy & Hold Returns,0.3344098983328405
Number Of Trades,794
Win Rate,0.3148614609571788
Best Return,0.6718081321473952
Worst Return,-0.15873841094727903
Avg Return,0.0022246214037667513
Avg Positive Return,0.036326463100922864
Avg Negative Return,-0.01344718084676455
Volatility,0.049856983053236964
Returns Annual,0.22152235658144748
Volatility Annual,0.9525163237957271
Max Drawdown,-4.013405214870192
Avg Drawdown,-0.4838479305419328
Profit Factor,1.24146070733193
Win Loss Ratio,0.45955882352941174
Sharpe Ratio,0.20106989433865136
SQN,1.2573042039532456
Avg Consecutive Wins,1.439306358381503
Avg Consecutive Losses,3.1206896551724137
Max Consecutive Wins,5
Max Consecutive Losses,14
