,ETH
Start,2018-08-20 08:00:00
End,2024-03-17 20:00:00
Duration,5Y 7M 1D 12H
Exposure Time,0.5065062607414682
Downside Exposure Time,0.07125545322346098
Returns,10.748349906738028
Total Returns,3.357651128797913
Buy & Hold Returns,11.533821658241342
Number Of Trades,2692
Win Rate,0.5070579494799405
Best Return,0.1560250098206103
Worst Return,-0.23029866724929002
Avg Return,0.0012472701072800568
Avg Positive Return,0.017229235453984908
Avg Negative Return,-0.015192355136316114
Volatility,0.025590547427216292
Returns Annual,0.5553139034605852
Volatility Annual,0.4889067221188325
Max Drawdown,-34.78761688989075
Avg Drawdown,-1.506842584595663
Profit Factor,1.1665480463671818
Win Loss Ratio,1.0286360211002261
Sharpe Ratio,1.074466518242929
SQN,2.528823189728628
Avg Consecutive Wins,1.9956076134699854
Avg Consecutive Losses,1.9385964912280702
Max Consecutive Wins,11
Max Consecutive Losses,8
