,LINK
Start,2020-01-20 04:00:00
End,2024-03-17 16:00:00
Duration,4Y 1M 4W 12H
Exposure Time,0.5666776424102733
Downside Exposure Time,0.002324230098779779
Returns,6.912923367374744
Total Returns,3.3803789851978623
Buy & Hold Returns,6.155109698663706
Number Of Trades,2336
Win Rate,0.5141267123287672
Best Return,0.20371457231442652
Worst Return,-0.24075125990981694
Avg Return,0.0014470800450333316
Avg Positive Return,0.023030671741814158
Avg Negative Return,-0.021391592754820214
Volatility,0.03338853005076807
Returns Annual,0.6443841705229374
Volatility Annual,0.6378869709573401
Max Drawdown,-1.3794119576572008
Avg Drawdown,-0.32121039842631854
Profit Factor,1.1392279438974522
Win Loss Ratio,1.058149779735683
Sharpe Ratio,0.963155227329491
SQN,2.094747469867344
Avg Consecutive Wins,1.9752883031301482
Avg Consecutive Losses,1.869851729818781
Max Consecutive Wins,9
Max Consecutive Losses,11
