,XRP
Start,2019-05-06 04:00:00
End,2024-03-17 16:00:00
Duration,4Y 10M 2W 3D 12H
Exposure Time,0.47229254571026724
Downside Exposure Time,0.19058963668850507
Returns,21.314928798811962
Total Returns,4.645070320454426
Buy & Hold Returns,1.105690781678459
Number Of Trades,2377
Win Rate,0.5006310475389146
Best Return,0.6926784047518032
Worst Return,-0.3978073346771572
Avg Return,0.001954173462538673
Avg Positive Return,0.019982146643912423
Avg Negative Return,-0.016119363256782947
Volatility,0.03717190725069716
Returns Annual,0.892364116597778
Volatility Annual,0.7101682908711623
Max Drawdown,-10.17455948867023
Avg Drawdown,-1.3692751400155698
Profit Factor,1.2427692584108512
Win Loss Ratio,1.0025273799494523
Sharpe Ratio,1.2143095202686638
SQN,2.5630841048794615
Avg Consecutive Wins,1.9849498327759196
Avg Consecutive Losses,1.9849498327759196
Max Consecutive Wins,8
Max Consecutive Losses,11
