Asset,Weights,Args,Position,Price,Cash
ETH,0.2,"[19, 2, 10, 39.14995088518505, True]",0,0,200.0
SOL,0.2,"[12, 12, 9, 11.79710175277541, True]",0,0,200.0
MATIC,0.2,"[16, 8, 5, 64.40818276002312, True]",0,0,200.0
BTC,0.09999999999999996,"[23, 12, 7, 30.35822041972307, True]",0,0,99.99999999999996
ADA,0.05,"[19, 3, 7, 18.886019329970125, True]",0,0,50.0
DOT,0.05,"[5, 2, 5, 163.62647355993676, True]",0,0,50.0
UNI,0.05,"[22, 3, 7, 83.0288281506568, True]",0,0,50.0
LINK,0.05,"[18, 9, 10, 17.26847614559905, True]",0,0,50.0
XRP,0.05,"[20, 12, 6, 6.94833111819738, True]",0,0,50.0
FTM,0.049999999999999996,"[8, 6, 7, 388.6323942520181, True]",0,0,49.99999999999999
